motif_id	cluster	source_id	tf_name	family_name	motif_type	PMID	name_IG
M00227_2.00	AC0001	BCL6_H676Y	BCL6	C2H2 ZF	PBM	27013732	HOX/LHX/DLX
M00260_2.00	AC0001	ARX_L343Q	ARX	Homeodomain	PBM	27013732	HOX/LHX/DLX
M00262_2.00	AC0001	ARX_P353R	ARX	Homeodomain	PBM	27013732	HOX/LHX/DLX
M00263_2.00	AC0001	ARX_R332H	ARX	Homeodomain	PBM	27013732	HOX/LHX/DLX
M00265_2.00	AC0001	ARX_T333N	ARX	Homeodomain	PBM	27013732	HOX/LHX/DLX
M00276_2.00	AC0001	PBX4_R215Q	PBX4	Homeodomain	PBM	27013732	HOX/LHX/DLX
M00279_2.00	AC0001	PHOX2B_R100L	PHOX2B	Homeodomain	PBM	27013732	HOX/LHX/DLX
M00282_2.00	AC0001	PHOX2B_REF	PHOX2B	Homeodomain	PBM	27013732	HOX/LHX/DLX
M00287_2.00	AC0001	VSX2_REF	VSX2	Homeodomain	PBM	27013732	HOX/LHX/DLX
M00303_2.00	AC0001	VENTX_E101K	VENTX	Homeodomain	PBM	27013732	HOX/LHX/DLX
M00305_2.00	AC0001	VENTX_REF	VENTX	Homeodomain	PBM	27013732	HOX/LHX/DLX
M00309_2.00	AC0001	HESX1_REF	HESX1	Homeodomain	PBM	27013732	HOX/LHX/DLX
M00316_2.00	AC0001	PROP1_R99Q	PROP1	Homeodomain	PBM	27013732	HOX/LHX/DLX
M00318_2.00	AC0001	ISX_R83Q	ISX	Homeodomain	PBM	27013732	HOX/LHX/DLX
M00319_2.00	AC0001	ISX_REF	ISX	Homeodomain	PBM	27013732	HOX/LHX/DLX
M00337_2.00	AC0001	PAX6_P118R	PAX6	"Homeodomain,Paired box"	PBM	27013732	HOX/LHX/DLX
M00352_2.00	AC0001	PAX3_G48R	PAX3	"Homeodomain,Paired box"	PBM	27013732	HOX/LHX/DLX
M00359_2.00	AC0001	PAX3_Y90H	PAX3	"Homeodomain,Paired box"	PBM	27013732	HOX/LHX/DLX
M00362_2.00	AC0001	POU6F2_E639K	POU6F2	"Homeodomain,POU"	PBM	27013732	HOX/LHX/DLX
M02090_2.00	AC0001	pTH6404	LBX1	Homeodomain	PBM	25215497	HOX/LHX/DLX
M02091_2.00	AC0001	pTH5490	VENTX	Homeodomain	PBM	25215497	HOX/LHX/DLX
M02094_2.00	AC0001	pTH6519	POU6F1	Homeodomain	PBM	25215497	HOX/LHX/DLX
M03078_2.00	AC0001	DLX6_1	DLX6	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03096_2.00	AC0001	HOXA1_1	HOXA1	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03104_2.00	AC0001	MEOX2_2	MEOX2	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03106_2.00	AC0001	LHX2_1	LHX2	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03107_2.00	AC0001	LHX2_2	LHX2	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03108_2.00	AC0001	LHX6_1	LHX6	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03109_2.00	AC0001	LHX6_2	LHX6	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03128_2.00	AC0001	MSX2_2	MSX2	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03143_2.00	AC0001	MNX1_1	MNX1	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03145_2.00	AC0001	BARX1_2	BARX1	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03149_2.00	AC0001	RAX_1	RAX	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03154_2.00	AC0001	LMX1B_2	LMX1B	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03156_2.00	AC0001	PDX1_2	PDX1	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03163_2.00	AC0001	LHX9_1	LHX9	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03169_2.00	AC0001	VENTX_1	VENTX	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03182_2.00	AC0001	EN1_3	EN1	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03185_2.00	AC0001	MSX1_2	MSX1	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03186_2.00	AC0001	MSX1_3	MSX1	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03187_2.00	AC0001	HESX1_1	HESX1	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03189_2.00	AC0001	EN2_1	EN2	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03190_2.00	AC0001	EN2_2	EN2	Homeodomain	SELEX	23332764	HOX/LHX/DLX
